81,Overcast,0.89,1.66,3.15,0.62,1.68,4.12,0.69,1.64,3.51,0.93,2.26,4.36
54,Rainy,0.84,1.63,2.97,0.53,1.49,3.54,0.63,1.51,3.18,0.82,1.99,3.8
93,Rainy,0.88,1.7,3.1,0.63,1.77,4.25,0.62,1.46,3.08,0.92,2.24,4.29
73,Overcast,0.89,1.7,3.13,0.62,1.76,4.16,0.66,1.6,3.35,0.85,2.04,3.95
85,Clear and Sunny,0.89,1.73,3.12,0.58,1.63,3.95,0.55,1.31,2.76,0.94,2.28,4.35
94,Clear and Sunny,0.83,1.58,2.91,0.65,1.8,4.33,0.7,1.65,3.53,0.93,2.21,4.36
90,Overcast,0.8,1.5,2.76,0.64,1.75,4.37,0.62,1.52,3.1,0.92,2.22,4.32
94,Rainy,0.88,1.66,3.08,0.63,1.72,4.21,0.62,1.46,3.08,0.9,2.2,4.2
91,Rainy,0.89,1.66,3.13,0.56,1.56,3.74,0.64,1.54,3.25,0.79,1.92,3.71
92,Overcast,0.91,1.76,3.23,0.52,1.44,3.53,0.56,1.34,2.82,0.88,2.14,4.06
75,Cloudy,0.83,1.61,2.89,0.6,1.64,4.11,0.56,1.34,2.81,0.79,1.87,3.68
66,Cloudy,0.81,1.53,2.88,0.63,1.8,4.33,0.64,1.52,3.25,0.84,2,3.89
85,Overcast,0.86,1.64,3,0.54,1.48,3.62,0.63,1.52,3.13,0.89,2.13,4.18
50,Clear and Sunny,0.85,1.62,3,0.64,1.82,4.28,0.61,1.47,3.08,0.83,1.99,3.87
80,Clear and Sunny,0.81,1.5,2.81,0.54,1.5,3.66,0.65,1.59,3.3,0.94,2.24,4.36
88,Cloudy,0.88,1.66,3.03,0.63,1.79,4.26,0.58,1.39,2.94,0.82,2,3.84
72,Rainy,0.92,1.72,3.25,0.61,1.68,4.18,0.55,1.3,2.77,0.93,2.26,4.32
72,Rainy,0.9,1.73,3.16,0.56,1.55,3.8,0.53,1.26,2.69,0.91,2.2,4.22
71,Rainy,0.9,1.74,3.15,0.63,1.71,4.24,0.57,1.36,2.89,0.83,2.03,3.91
83,Cloudy,0.87,1.64,3.02,0.55,1.54,3.72,0.64,1.55,3.23,0.86,2.06,4.03
89,Rainy,0.91,1.74,3.15,0.59,1.62,3.94,0.64,1.52,3.25,0.9,2.17,4.15
81,Overcast,0.81,1.56,2.88,0.63,1.73,4.21,0.67,1.58,3.36,0.83,2,3.87
62,Rainy,0.86,1.63,3.02,0.61,1.72,4.14,0.54,1.31,2.75,0.92,2.22,4.29
96,Cloudy,0.82,1.54,2.87,0.59,1.67,3.95,0.57,1.34,2.87,0.79,1.92,3.65
79,Cloudy,0.84,1.58,2.97,0.54,1.46,3.65,0.57,1.34,2.86,0.92,2.17,4.31
59,Clear and Sunny,0.92,1.71,3.2,0.58,1.63,3.98,0.7,1.64,3.51,0.84,2.04,3.92
69,Clear and Sunny,0.85,1.58,3.01,0.58,1.61,3.97,0.54,1.27,2.73,0.78,1.92,3.63
74,Rainy,0.83,1.6,2.91,0.61,1.69,4.17,0.7,1.69,3.49,0.81,1.91,3.81
79,Rainy,0.89,1.65,3.13,0.57,1.61,3.79,0.57,1.37,2.87,0.81,1.95,3.79
56,Clear and Sunny,0.86,1.61,3.02,0.64,1.78,4.32,0.63,1.5,3.19,0.83,1.97,3.84
66,Overcast,0.87,1.7,3.05,0.54,1.47,3.58,0.55,1.31,2.78,0.81,1.99,3.75
62,Overcast,0.86,1.62,3.05,0.58,1.59,3.87,0.57,1.35,2.89,0.88,2.08,4.1
53,Clear and Sunny,0.86,1.66,2.98,0.64,1.79,4.3,0.56,1.37,2.86,0.88,2.13,4.13
78,Rainy,0.8,1.51,2.81,0.64,1.79,4.37,0.65,1.59,3.31,0.83,2.02,3.9
80,Cloudy,0.81,1.56,2.85,0.65,1.81,4.38,0.53,1.29,2.67,0.93,2.23,4.32
73,Rainy,0.82,1.52,2.85,0.6,1.69,4.02,0.56,1.33,2.83,0.93,2.19,4.32
52,Overcast,0.88,1.72,3.07,0.59,1.62,3.96,0.58,1.37,2.94,0.82,1.96,3.78
